locations,rate_fire,rate_ems,rate_enroute,stdev_enroute
1,4.796906364387767e-07,4.796906364387767e-07,0,0
2,8.609831936080607e-08,8.609831936080607e-08,0,0
3,0.0,0.0,0,0
4,0.0,0.0,0,0
5,0.0,0.0,0,0
6,1.1069783917817924e-07,1.1069783917817924e-07,0,0
7,0.0,0.0,0,0
8,0.0,0.0,0,0
9,4.243417168496871e-06,4.243417168496871e-06,0,0
10,1.7736253788326052e-05,1.7736253788326052e-05,0,0
11,0.0,0.0,0,0
12,2.4599519817373166e-08,2.4599519817373166e-08,0,0
13,2.7797457393631678e-06,2.7797457393631678e-06,0,0
14,5.980143267603417e-05,5.980143267603417e-05,0,0
15,4.92236391545637e-05,4.92236391545637e-05,0,0
16,4.919903963474633e-08,4.919903963474633e-08,0,0
17,0.0,0.0,0,0
18,2.7059471799110484e-07,2.7059471799110484e-07,0,0
19,3.0564903373086156e-05,3.0564903373086156e-05,0,0
20,4.625939701657024e-05,4.625939701657024e-05,0,0
21,5.5767111425984965e-05,5.5767111425984965e-05,0,0
22,5.042901562561499e-07,5.042901562561499e-07,0,0
23,4.145019089227379e-06,4.145019089227379e-06,0,0
24,3.62104931711733e-05,3.62104931711733e-05,0,0
25,3.1905577203132994e-05,3.1905577203132994e-05,0,0
26,2.6038591726689495e-05,2.6038591726689495e-05,0,0
27,8.609831936080607e-08,8.609831936080607e-08,0,0
28,5.522592199000276e-06,5.522592199000276e-06,0,0
29,5.0195320187349944e-05,5.0195320187349944e-05,0,0
30,5.293816664698705e-05,5.293816664698705e-05,0,0
31,3.774796315975912e-05,3.774796315975912e-05,0,0
32,6.441384264179164e-05,6.441384264179164e-05,0,0
33,8.978824733341205e-07,8.978824733341205e-07,0,0
34,9.839807926949266e-08,9.839807926949266e-08,0,0
35,4.268016688314244e-06,4.268016688314244e-06,0,0
36,3.935923170779706e-05,3.935923170779706e-05,0,0
37,3.948222930688393e-05,3.948222930688393e-05,0,0
38,6.596361239028614e-05,6.596361239028614e-05,0,0
39,5.173279017593576e-05,5.173279017593576e-05,0,0
40,2.4599519817373165e-07,2.4599519817373165e-07,0,0
41,3.9359231707797066e-07,3.9359231707797066e-07,0,0
42,1.1918467351517298e-05,1.1918467351517298e-05,0,0
43,5.9530837958043056e-05,5.9530837958043056e-05,0,0
44,6.092071082772464e-05,6.092071082772464e-05,0,0
45,6.111750698626363e-05,6.111750698626363e-05,0,0
46,2.6874975400480184e-05,2.6874975400480184e-05,0,0
47,9.839807926949265e-06,9.839807926949265e-06,0,0
48,0.0,0.0,0,0
49,5.90388475616956e-06,5.90388475616956e-06,0,0
50,1.637098043846184e-05,1.637098043846184e-05,0,0
51,4.796906364387767e-07,4.796906364387767e-07,0,0
52,9.766009367497146e-06,9.766009367497146e-06,0,0
53,5.935864131932145e-05,5.935864131932145e-05,0,0
54,4.3319754398394146e-05,4.3319754398394146e-05,0,0
55,3.210237336167198e-05,3.210237336167198e-05,0,0
56,9.310918250875743e-06,9.310918250875743e-06,0,0
57,1.3185342622112017e-05,1.3185342622112017e-05,0,0
58,1.2312059668595269e-05,1.2312059668595269e-05,0,0
59,1.5989687881292558e-07,1.5989687881292558e-07,0,0
60,3.9851222104144524e-06,3.9851222104144524e-06,0,0
61,6.420474672334396e-06,6.420474672334396e-06,0,0
62,2.763756051481875e-05,2.763756051481875e-05,0,0
63,6.956744204353132e-05,6.956744204353132e-05,0,0
64,3.554630613610422e-05,3.554630613610422e-05,0,0
65,2.468561813673397e-05,2.468561813673397e-05,0,0
66,1.3419038060377061e-05,1.3419038060377061e-05,0,0
67,1.9089227378281578e-05,1.9089227378281578e-05,0,0
68,2.6899574920297555e-05,2.6899574920297555e-05,0,0
69,6.457373952060456e-06,6.457373952060456e-06,0,0
70,7.133860747038218e-07,7.133860747038218e-07,0,0
71,1.1451076474987209e-05,1.1451076474987209e-05,0,0
72,3.3467646711536194e-05,3.3467646711536194e-05,0,0
73,6.887865548864486e-07,6.887865548864486e-07,0,0
74,1.2053764710512851e-06,1.2053764710512851e-06,0,0
75,2.9642421379934665e-06,2.9642421379934665e-06,0,0
76,2.2939052229700476e-05,2.2939052229700476e-05,0,0
77,3.801855787775023e-05,3.801855787775023e-05,0,0
78,1.3025445743299091e-05,1.3025445743299091e-05,0,0
79,1.6567776597000827e-05,1.6567776597000827e-05,0,0
80,5.9247943480143265e-05,5.9247943480143265e-05,0,0
81,3.060180265281222e-05,3.060180265281222e-05,0,0
82,4.628399653638761e-05,4.628399653638761e-05,0,0
83,3.1979375762585115e-07,3.1979375762585115e-07,0,0
84,3.63949895698036e-05,3.63949895698036e-05,0,0
85,3.62965914905341e-05,3.62965914905341e-05,0,0
86,3.296335655528004e-05,3.296335655528004e-05,0,0
87,5.402054551895147e-05,5.402054551895147e-05,0,0
88,3.146278584642028e-05,3.146278584642028e-05,0,0
89,9.347817530601802e-07,9.347817530601802e-07,0,0
90,4.083520289683945e-06,4.083520289683945e-06,0,0
91,7.30605738575983e-06,7.30605738575983e-06,0,0
92,1.0393297122840161e-05,1.0393297122840161e-05,0,0
93,2.0393001928602354e-05,2.0393001928602354e-05,0,0
94,3.688697996615106e-05,3.688697996615106e-05,0,0
95,1.591588932184044e-05,1.591588932184044e-05,0,0
96,1.4858109969693391e-05,1.4858109969693391e-05,0,0
97,2.1868973117644744e-05,2.1868973117644744e-05,0,0
98,1.9495119455268233e-05,1.9495119455268233e-05,0,0
99,1.2336659188412643e-05,1.2336659188412643e-05,0,0
100,6.026882355256426e-07,6.026882355256426e-07,0,0
101,3.6616385248159955e-05,3.6616385248159955e-05,0,0
102,6.318386665092298e-05,6.318386665092298e-05,0,0
103,5.308576376589129e-05,5.308576376589129e-05,0,0
104,3.9961919943322704e-05,3.9961919943322704e-05,0,0
105,3.3848939268705475e-05,3.3848939268705475e-05,0,0
106,2.868304010705711e-05,2.868304010705711e-05,0,0
107,2.3492541425591374e-06,2.3492541425591374e-06,0,0
108,3.2040874562128546e-05,3.2040874562128546e-05,0,0
109,4.8338056441138266e-05,4.8338056441138266e-05,0,0
110,4.1954481048529934e-05,4.1954481048529934e-05,0,0
111,8.802938166646987e-05,8.802938166646987e-05,0,0
112,0.00012749931121344512,0.00012749931121344512,0,0
113,0.00014174243318770417,0.00014174243318770417,0,0
114,3.607519581217775e-05,3.607519581217775e-05,0,0
115,5.025681898689337e-05,5.025681898689337e-05,0,0
116,8.620901719998426e-05,8.620901719998426e-05,0,0
117,7.03177273979612e-05,7.03177273979612e-05,0,0
118,3.530031093793049e-06,3.530031093793049e-06,0,0
119,6.949364348407919e-06,6.949364348407919e-06,0,0
120,5.0515113944975796e-05,5.0515113944975796e-05,0,0
121,3.3996536387609714e-05,3.3996536387609714e-05,0,0
122,4.9580332191915614e-05,4.9580332191915614e-05,0,0
123,2.846164442870075e-05,2.846164442870075e-05,0,0
124,9.839807926949266e-07,9.839807926949266e-07,0,0
