Unit,Station,station_location,Type,initial_location,average_time_on_service_fire_seconds,average_time_on_service_ems_seconds,rate_enroute,stdev_enroute
E1,Engine 1 Station,129,eng,129,1172,1172,0,0
E2,Engine 2 Station,112,eng,112,1172,1172,0,0
E3,Engine 3 Station,113,eng,113,1172,1172,0,0
E4,Engine 4 Station,170,eng,170,1172,1172,0,0
E5,Engine 5 Station,146,eng,146,1172,1172,0,0
E6,Engine 6 Station,132,eng,132,1172,1172,0,0
E7,Engine 7 Station,63,eng,63,1172,1172,0,0
E8,Engine 8 Station,81,eng,81,1172,1172,0,0
E9,Engine 9 Station,169,eng,169,1172,1172,0,0
E10,Engine 10 Station,116,eng,116,1172,1172,0,0
E11,Engine 11 Station,207,eng,207,1172,1172,0,0
E12,Engine 12 Station,173,eng,173,1172,1172,0,0
E13,Engine 13 Station,77,eng,77,1172,1172,0,0
E14,Engine 14 Station,242,eng,242,1172,1172,0,0
E15,Engine 15 Station,44,eng,44,1172,1172,0,0
E16,Engine 16 Station,131,eng,131,1172,1172,0,0
E17,Engine 17 Station,212,eng,212,1172,1172,0,0
E18,Engine 18 Station,80,eng,80,1172,1172,0,0
E19,Engine 19 Station,55,eng,55,1172,1172,0,0
E20,Engine 20 Station,219,eng,219,1172,1172,0,0
E21,Engine 21 Station,187,eng,187,1172,1172,0,0
E22,Engine 22 Station,273,eng,273,1172,1172,0,0
E23,Engine 23 Station,109,eng,109,1172,1172,0,0
E24,Engine 24 Station,240,eng,240,1172,1172,0,0
E25,Engine 25 Station,24,eng,24,1172,1172,0,0
E26,Engine 26 Station,194,eng,194,1172,1172,0,0
E27,Engine 27 Station,121,eng,121,1172,1172,0,0
E28,Engine 28 Station,204,eng,204,1172,1172,0,0
E29,Engine 29 Station,144,eng,144,1172,1172,0,0
E30,Engine 30 Station,104,eng,104,1172,1172,0,0
E31,Engine 31 Station,248,eng,248,1172,1172,0,0
E32,Engine 32 Station,38,eng,38,1172,1172,0,0
E33,Engine 33 Station,20,eng,20,1172,1172,0,0
A1,Engine 1 Station,129,amb,129,1990,2400,0,0
A2,Engine 2 Station,112,amb,112,1990,2400,0,0
A3,Engine 3 Station,113,amb,113,1990,2400,0,0
A4,Engine 4 Station,170,amb,170,1990,2400,0,0
A5,Engine 5 Station,146,amb,146,1990,2400,0,0
A6,Engine 6 Station,132,amb,132,1990,2400,0,0
A7,Engine 7 Station,63,amb,63,1990,2400,0,0
A8,Engine 8 Station,81,amb,81,1990,2400,0,0
A9,Engine 9 Station,169,amb,169,1990,2400,0,0
A10,Engine 10 Station,116,amb,116,1990,2400,0,0
A11,Engine 11 Station,207,amb,207,1990,2400,0,0
A12,Engine 12 Station,173,amb,173,1990,2400,0,0
A13,Engine 13 Station,77,amb,77,1990,2400,0,0
A14,Engine 14 Station,242,amb,242,1990,2400,0,0
A15,Engine 15 Station,44,amb,44,1990,2400,0,0
A16,Engine 16 Station,131,amb,131,1990,2400,0,0
A17,Engine 17 Station,212,amb,212,1990,2400,0,0
A18,Engine 18 Station,80,amb,80,1990,2400,0,0
A19,Engine 19 Station,55,amb,55,1990,2400,0,0
A20,Engine 20 Station,219,amb,219,1990,2400,0,0
A21,Engine 21 Station,187,amb,187,1990,2400,0,0
A22,Engine 22 Station,273,amb,273,1990,2400,0,0
A23,Engine 23 Station,109,amb,109,1990,2400,0,0
A24,Engine 24 Station,240,amb,240,1990,2400,0,0
A25,Engine 25 Station,24,amb,24,1990,2400,0,0
A26,Engine 26 Station,194,amb,194,1990,2400,0,0
A27,Engine 27 Station,121,amb,121,1990,2400,0,0
A28,Engine 28 Station,204,amb,204,1990,2400,0,0
A29,Engine 29 Station,144,amb,144,1990,2400,0,0
A30,Engine 30 Station,104,amb,104,1990,2400,0,0
A31,Engine 31 Station,248,amb,248,1990,2400,0,0
A32,Engine 32 Station,38,amb,38,1990,2400,0,0
A33,Engine 33 Station,20,amb,20,1990,2400,0,0
T02,Engine 1 Station,129,lad,129,1243,1242,0,0
T04,Engine 6 Station,132,lad,132,1243,1242,0,0
T09,Engine 9 Station,169,lad,169,1243,1242,0,0
T13,Engine 10 Station,116,lad,116,1243,1242,0,0
T06,Engine 11 Station,207,lad,207,1243,1242,0,0
T10,Engine 13 Station,77,lad,77,1243,1242,0,0
T07,Engine 18 Station,80,lad,80,1243,1242,0,0
T12,Engine 20 Station,219,lad,219,1243,1242,0,0
T11,Engine 22 Station,273,lad,273,1243,1242,0,0
T15,Engine 26 Station,194,lad,194,1243,1242,0,0
T14,Engine 28 Station,204,lad,204,1243,1242,0,0
T05,Engine 29 Station,144,lad,144,1243,1242,0,0
T17,Engine 30 Station,104,lad,104,1243,1242,0,0
T16,Engine 32 Station,38,lad,38,1243,1242,0,0
T08,Engine 33 Station,20,lad,20,1243,1242,0,0
